NEWS,#genre#
中天新聞0,http://tv.redrainl.site:9500/live.m3u8?c=03
中天新聞1,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV49.m3u8
東森新聞0,https://z88.ubtvfans.com/live/rx1/2766/11a206130aa9aeef32670d759dca953d/index.m3u8
東森新聞1,http://37.27.111.214:8080/live/20/hls.m3u8
TVBS新聞臺,http://125.227.210.55:8186/VideoInput/play.ts
TVBS HD,http://125.227.210.55:8188/VideoInput/play.ts
TVBS NESW,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV31.m3u8
東森財經新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
非凡新聞,https://z88.ubtvfans.com/live/rx1/2795/a4ae6e13e7f16f622f1c1aafe365df30/index.m3u8
TAIWAN PLUS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV78.m3u8
壹新聞,https://z88.ubtvfans.com/live/rx3/494/34a10e399d9b6f1cbfc5de4950430a02/index.m3u8
年代新聞,http://211.23.114.106:8517/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
寰宇新聞0,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
寰宇新聞1,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV41.m3u8
鏡新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV70.m3u8
三立iNEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV01.m3u8
民視新聞HD,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
台視新聞HD,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV25.m3u8
中視新聞HD,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
中天綜合,http://211.23.114.106:8526/http/60.251.39.91:8081/hls/67/809/ch25.m3u8
東森綜合,http://211.23.114.106:8524/http/60.251.39.91:8081/hls/63/805/ch12.m3u8
東森戲劇,http://211.23.114.106:8530/http/60.251.39.91:8081/hls/64/806/ch13.m3u8
八大戲劇,http://211.23.114.106:8531/http/60.251.39.91:8081/hls/66/808/ch23.m3u8
緯來戲劇,http://211.23.114.106:8533/http/60.251.39.91:8081/hls/69/811/ch33.m3u8
Discovery,http://125.227.210.55:8154/VideoInput/play.ts
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
LOVENATURE,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
探索亞洲,http://61.221.215.25:8800/hls/50/index.m3u8
Discovery HD,http://yccloud.serv00.net/huanqiu.php?m3u8=/live/kwzq1rse/fvptsnk3/index.m3u8
Discovery 動力頻道 HD,http://yccloud.serv00.net/huanqiu.php?m3u8=/live/kwzq1rse/nvhgfr5c/index.m3u8
Discovery 科學頻道 HD,http://yccloud.serv00.net/huanqiu.php?m3u8=/live/kwzq1rse/0j9wgpsb/index.m3u8
國家地理 HD ,http://yccloud.serv00.net/huanqiu.php?m3u8=/live/kwzq1rse/nvhgfr5c/index.m3u8
History HD,http://yccloud.serv00.net/huanqiu.php?m3u8=/live/kwzq1rse/4m124k0n/index.m3u8
History2 HD,http://yccloud.serv00.net/huanqiu.php?m3u8=/live/t6u5b1q4/hdfg61df/index.m3u8
亞洲旅遊臺 HD,http://yccloud.serv00.net/huanqiu.php?m3u8=/live/kwzq1rse/jhmt4rc8/index.m3u8
亞洲美食,http://yccloud.serv00.net/huanqiu.php?m3u8=/live/t6u5b1q4/2fdxafax/index.m3u8
美食星球,http://yccloud.serv00.net/huanqiu.php?m3u8=/live/kwzq1rse/45c2r1kr/index.m3u8
HBO,http://220.134.196.147:9520/http/60.251.39.91:8081/hls/71/813/ch41.m3u8
愛爾達體育3台,http://vp.ubvip1688.com:8080/vod/7B0F7DF8/main.m3u8
大愛1台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV30.m3u8
大愛2台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV47.m3u8
東森購物0,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV18.m3u8
東森購物1,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV19.m3u8
MOMO1台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV04.m3u8
MOMO2台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV05.m3u8
HBO HD,http://125.227.210.55:8153/VideoInput/play.ts
Discovery,http://125.227.210.55:8154/VideoInput/play.ts
三立臺灣臺,http://125.227.210.55:8160/VideoInput/play.ts
三立新聞,http://125.227.210.55:8162/VideoInput/play.ts
CN卡通,http://125.227.210.55:8167/VideoInput/play.ts
TVBS新聞臺,http://125.227.210.55:8186/VideoInput/play.ts
TVBS歡樂台,http://125.227.210.55:8187/VideoInput/play.ts
TVBS HD,http://125.227.210.55:8188/VideoInput/play.ts
鳳凰HD,http://125.227.210.55:39004/VideoInput/play.ts
民視台灣台,https://gat.zhoujie218.top/litv/4gtv-4gtv001
民視,https://gat.zhoujie218.top/litv/4gtv-4gtv002
民視第一台,https://gat.zhoujie218.top/litv/4gtv-4gtv003
民視綜藝,https://gat.zhoujie218.top/litv/4gtv-4gtv004
中天新聞,https://gat.zhoujie218.top/litv/4gtv-4gtv009
非凡新聞,https://gat.zhoujie218.top/litv/4gtv-4gtv010
視納華仁紀實頻道,https://gat.zhoujie218.top/litv/4gtv-4gtv013
時尚運動X,https://gat.zhoujie218.top/litv/4gtv-4gtv014
達文西頻道,https://gat.zhoujie218.top/litv/4gtv-4gtv018
八大精彩台,https://gat.zhoujie218.top/litv/4gtv-4gtv034
八大綜藝台,https://gat.zhoujie218.top/litv/4gtv-4gtv039
中視,https://gat.zhoujie218.top/litv/4gtv-4gtv040
華視,https://gat.zhoujie218.top/litv/4gtv-4gtv041
台視新聞,https://gat.zhoujie218.top/litv/4gtv-4gtv051
華視新聞,https://gat.zhoujie218.top/litv/4gtv-4gtv052
台視財經,https://gat.zhoujie218.top/litv/4gtv-4gtv056
靖洋卡通台,https://gat.zhoujie218.top/litv/4gtv-4gtv057
中視菁采,https://gat.zhoujie218.top/litv/4gtv-4gtv064
靖天資訊台,https://gat.zhoujie218.top/litv/4gtv-4gtv065
台視,https://gat.zhoujie218.top/litv/4gtv-4gtv066
TVBS精采台,https://gat.zhoujie218.top/litv/4gtv-4gtv067
TVBS歡樂台,https://gat.zhoujie218.top/litv/4gtv-4gtv068
TVBS新聞台,https://gat.zhoujie218.top/litv/4gtv-4gtv072
TVBS,https://gat.zhoujie218.top/litv/4gtv-4gtv073
中視新聞,https://gat.zhoujie218.top/litv/4gtv-4gtv074
鏡新聞,https://gat.zhoujie218.top/litv/4gtv-4gtv075
東森新聞,https://gat.zhoujie218.top/litv/4gtv-4gtv152
東森財經新聞,https://gat.zhoujie218.top/litv/4gtv-4gtv153
民視,https://gat.zhoujie218.top/litv/4gtv-4gtv155
民視台灣台,https://gat.zhoujie218.top/litv/4gtv-4gtv156

台灣酒店,#genre#
Trace Sport Stars,https://yccloud.serv00.net/twjd02.php?id=live1003
DISCOVERY,https://yccloud.serv00.net/twjd02.php?id=live1002
TLC旅游生活,https://yccloud.serv00.net/twjd02.php?id=live1005
动物星球,https://yccloud.serv00.net/twjd02.php?id=live1004
亚洲旅游,https://yccloud.serv00.net/twjd02.php?id=live1219
MOMO亲子,https://yccloud.serv00.net/twjd02.php?id=live1007
东森幼幼,https://yccloud.serv00.net/twjd02.php?id=live1008
龙华卡通,https://yccloud.serv00.net/twjd02.php?id=live1670
纬來综合,https://yccloud.serv00.net/twjd02.php?id=live1044
八大第一,https://yccloud.serv00.net/twjd02.php?id=live1043
八大综合,https://yccloud.serv00.net/twjd02.php?id=live1019
三立台湾,https://yccloud.serv00.net/twjd02.php?id=live1021
三立都会,https://yccloud.serv00.net/twjd02.php?id=live1020
韩国娱乐,https://yccloud.serv00.net/twjd02.php?id=live1024
东森综合,https://yccloud.serv00.net/twjd02.php?id=live1041
东森超视,https://yccloud.serv00.net/twjd02.php?id=live1180
中天综合,https://yccloud.serv00.net/twjd02.php?id=live1022
中天娱乐,https://yccloud.serv00.net/twjd02.php?id=live1023
东风卫视,https://yccloud.serv00.net/twjd02.php?id=live1195
年代MUCH,https://yccloud.serv00.net/twjd02.php?id=live1189
东森戏剧,https://yccloud.serv00.net/twjd02.php?id=live1042
八大戏剧,https://yccloud.serv00.net/twjd02.php?id=live1057
TVBS欢乐,https://yccloud.serv00.net/twjd02.php?id=live1018
纬來戏剧,https://yccloud.serv00.net/twjd02.php?id=live1186
龙华戏剧,https://yccloud.serv00.net/twjd02.php?id=live1671
龙华日韩,https://yccloud.serv00.net/twjd02.php?id=live1672
龙华偶像,https://yccloud.serv00.net/twjd02.php?id=live1673
纬來日本,https://yccloud.serv00.net/twjd02.php?id=live1026
Taiwan Plus,https://yccloud.serv00.net/twjd02.php?id=live1674
鳳凰衛視,https://yccloud.serv00.net/twjd02.php?id=live1192
东森新闻,https://yccloud.serv00.net/twjd02.php?id=live1014
中天新闻,https://yccloud.serv00.net/twjd02.php?id=live1675
民视新闻,https://yccloud.serv00.net/twjd02.php?id=live1204
三立新闻,https://yccloud.serv00.net/twjd02.php?id=live1016
TVBS新闻,https://yccloud.serv00.net/twjd02.php?id=live1052
TVBS,https://yccloud.serv00.net/twjd02.php?id=live1668
非凡新闻,https://yccloud.serv00.net/twjd02.php?id=live1013
非凡商业,https://yccloud.serv00.net/twjd02.php?id=live1012
东森财经,https://yccloud.serv00.net/twjd02.php?id=live1017
寰宇新闻,https://yccloud.serv00.net/twjd02.php?id=live1222
壹新闻,https://yccloud.serv00.net/twjd02.php?id=live1676
台视,https://yccloud.serv00.net/twjd02.php?id=live1047
中视,https://yccloud.serv00.net/twjd02.php?id=live1048
华视,https://yccloud.serv00.net/twjd02.php?id=live1049
民视,https://yccloud.serv00.net/twjd02.php?id=live1050
公视,https://yccloud.serv00.net/twjd02.php?id=live1201
Bloomberg News,https://yccloud.serv00.net/twjd02.php?id=live1066
NHK世界,https://yccloud.serv00.net/twjd02.php?id=live1027
镜新闻,https://yccloud.serv00.net/twjd02.php?id=live1031
好莱坞电影,https://yccloud.serv00.net/twjd02.php?id=live1025
纬來电影,https://yccloud.serv00.net/twjd02.php?id=live1183
龙华电影,https://yccloud.serv00.net/twjd02.php?id=live1677
HBO,https://yccloud.serv00.net/twjd02.php?id=live1029
AXN,https://yccloud.serv00.net/twjd02.php?id=live1054
CINEMAX,https://yccloud.serv00.net/twjd02.php?id=live1030
AMC电影台,https://yccloud.serv00.net/twjd02.php?id=live1032
宠物频道,https://yccloud.serv00.net/twjd02.php?id=live1040
纬來育乐,https://yccloud.serv00.net/twjd02.php?id=live1045
纬來体育,https://yccloud.serv00.net/twjd02.php?id=live1011
博斯运动1,https://yccloud.serv00.net/twjd02.php?id=live1678
momo综合,https://yccloud.serv00.net/twjd02.php?id=live1225
DAZN 1,https://yccloud.serv00.net/twjd02.php?id=live1069
DAZN 2,https://yccloud.serv00.net/twjd02.php?id=live1072
人间卫视,https://yccloud.serv00.net/twjd02.php?id=live1198
大爱电视,https://yccloud.serv00.net/twjd02.php?id=live1216


MMTV_ww,#genre#
第一视角720,http://cdn.adultiptv.net/pov.m3u8
直播720,http://cdn.adultiptv.net/livecams.m3u8
少妇720,http://cdn.adultiptv.net/milf.m3u8
俄罗斯720,http://cdn.adultiptv.net/russian.m3u8
亞洲720p,http://cdn.adultiptv.net/asian.m3u8
婬婦720p,http://live.redtraffic.net/woman.m3u8
金发720,http://cdn.adultiptv.net/blonde.m3u8
褐发720,http://cdn.adultiptv.net/brunette.m3u8
绿帽720,http://cdn.adultiptv.net/cuckold.m3u8
拉丁720,http://cdn.adultiptv.net/latina.m3u8
色星720,http://cdn.adultiptv.net/pornstar.m3u8
🍌️香蕉臺,http://125.227.210.55:8159/VideoInput/play.ts
